id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
1,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by the characteristic equation (λ^2 - (a+d)λ + (ad-bc)) = 0. If the matrix represents the stress-strain relationship of a material, and the eigenvalues are 10 GPa and 20 GPa, what is the average value of the material's bulk modulus?",10 N/m²,100 N/m²,200 N/m²,500 N/m²,2
2,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by the characteristic equation λ^2 - (a + d)λ + (ad - bc) = 0. If the eigenvalues of a matrix are 1 and 2, what is the value of the determinant of the matrix?",1,-1,2,4,2
3,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by the characteristic equation λ^2 - (a + d)λ + (ad - bc) = 0. If the eigenvalues are 3 and 4, what is the value of the trace (a + d) of the matrix?",1,6,7,10,1
4,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by the characteristic equation λ^2 - (a+d)λ + (ad-bc) = 0. If the matrix represents the stress tensor of a material and the principal stresses are 30 MPa and 60 MPa, what is the value of the trace of the stress tensor?",20 MPa,40 MPa,60 MPa,80 MPa,1
5,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [A] = [[4, 2], [2, 3]] are given by the characteristic equation |A - λI| = 0. What is the value of the dominant eigenvalue λ?",λ = 5.0 MPa,λ = 3.0 MPa,λ = 6.0 MPa,λ = 4.0 MPa,0
6,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by the characteristic equation λ² - (a + d)λ + (ad - bc) = 0. If the eigenvalues are 3 and 5, what is the value of the trace (a + d)?",8,10,12,14,0
7,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by λ = (d - a ± √((d - a)^2 + b^2c^2)) / 2. For a matrix with a = 10 MPa, b = 20, c = 30, and d = 15 MPa, what is the value of the smaller eigenvalue?",5 MPa,10 MPa,15 MPa,20 MPa,0
8,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a b; c d] are given by the characteristic equation λ^2 - (a+d)λ + (ad-bc) = 0. If the eigenvalues are 2 and 3, what is the determinant of the matrix?",6,9,12,15,1
9,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of a 2x2 matrix [a b; c d] are given by the characteristic equation (λ^2 - (a+d)λ + (ad-bc)) = 0. If the eigenvalues are 3 and 4, what is the value of (a+d)?",5,6,7,8,0
10,Engineering Mathematics,Matrix eigenvalues,1,"The eigenvalues of the matrix [1 2; 3 4] are given by the characteristic equation (λ - 2)(λ - 6) = 0. What is the value of the sum of the eigenvalues, in MPa?",4 MPa,6 MPa,8 MPa,10 MPa,2
11,General Aptitude & Reasoning,Logical deduction,1,"A conveyor belt transports coal at a rate of 1000 kg/h. If the belt speed is 5 m/s and the coal density is 1.5 ton/m³, what is the power required to transport 1 ton of coal over a distance of 100 m?",10 kW,15 kW,20 kW,25 kW,2
12,General Aptitude & Reasoning,Logical deduction,1,"A conveyor belt transports coal at a rate of 200 kg/min. If the belt is 100 m long and the coal is fed at one end at a rate of 5 m/min, what is the rate of flow of coal at the other end?",50 kg/min,100 kg/min,200 kg/min,400 kg/min,2
13,General Aptitude & Reasoning,Logical deduction,1,"A conveyor belt transports coal at a rate of 100 m³/s. If the coal is to be stored in a rectangular silo with a base area of 50 m², what is the time taken to fill the silo to a height of 10 m?",10 s,20 s,25 s,30 s,2
14,General Aptitude & Reasoning,Logical deduction,1,"A mine has two parallel tunnels, each 100 m long, with a distance of 50 m between them. A train travels from one tunnel to the other at a speed of 10 m/s. What is the time taken by the train to travel from one tunnel to the other?",5 s,10 s,15 s,20 s,1
15,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass is subjected to a major principal stress of 10 MPa and a minor principal stress of 4 MPa. The cohesion (c) of the rock is 0.5 MPa. The angle of internal friction (φ) is 30°. What is the critical state of stress (σc) at which the rock mass will fail according to the Mohr-Coulomb failure criterion?,6.0 MPa,8.0 MPa,10.0 MPa,12.0 MPa,2
16,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 0.3 MPa and an angle of internal friction (φ) of 30°. If the major principal stress (σ1) is 5.0 MPa and the minor principal stress (σ3) is 2.0 MPa, what is the value of the major principal stress at failure, according to the Mohr-Coulomb failure criterion?",4.5 MPa,5.0 MPa,6.0 MPa,7.5 MPa,2
17,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass has a cohesion (c) of 0.5 MPa and an angle of internal friction (φ) of 30°. What is the major principal stress (σ1) required to cause failure in this rock mass?,0.5 MPa,1.0 MPa,1.732 MPa,2.0 MPa,2
18,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 1.5 MPa and an angle of internal friction (φ) of 35°. If the major principal stress (σ1) is 10 MPa and the minor principal stress (σ3) is 2 MPa, what is the Mohr-Coulomb failure criterion?",σ1 - σ3 = 8 MPa,σ1 - σ3 = 10 MPa,σ1 - σ3 = 12 MPa,σ1 - σ3 = 15 MPa,2
19,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 1.2 MPa and an angle of internal friction (φ) of 30°. What is the major principal stress (σ1) required to initiate shear failure, given that the minor principal stress (σ3) is 2 MPa?",σ1 = 2.52 MPa,σ1 = 3.24 MPa,σ1 = 4.32 MPa,σ1 = 5.40 MPa,1
20,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 0.5 MPa and an angle of internal friction (φ) of 30°. A vertical stress (σv) of 10 MPa is applied to the rock mass. What is the minimum principal stress (σ1) required to initiate failure, assuming a minor principal stress (σ3) of 5 MPa?",15 MPa,12.5 MPa,18 MPa,20 MPa,1
21,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 100 kPa and an angle of internal friction (φ) of 30°. If the major principal stress (σ1) is 800 kPa and the minor principal stress (σ3) is 200 kPa, what is the magnitude of the major principal stress at failure, according to the Mohr-Coulomb failure criterion?",600 kPa,700 kPa,900 kPa,1100 kPa,2
22,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass has a cohesion of 2.5 MPa and an angle of internal friction of 30°. What is the major principal stress (σ1) for a minor principal stress (σ3) of 10 MPa?,15 MPa,20 MPa,25 MPa,30 MPa,2
23,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion of 100 kPa and an angle of internal friction of 30°. What is the major principal stress (σ1) required to cause failure in the rock mass, given that the minor principal stress (σ3) is 50 kPa?",150 kPa,200 kPa,250 kPa,300 kPa,2
24,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 0.5 MPa and an angle of internal friction (φ) of 30°. What is the major principal stress (σ1) required to cause failure in the rock mass, given that the minor principal stress (σ3) is 10 MPa?",10.5 MPa,15.0 MPa,20.0 MPa,25.0 MPa,2
25,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 200 kPa and an angle of internal friction (φ) of 30°. If the major principal stress (σ1) is 800 kPa, what is the minor principal stress (σ3) at which the rock mass will fail according to the Mohr-Coulomb criterion?",600 kPa,800 kPa,"1,200 kPa",not enough information to determine,2
26,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 100 kPa and an angle of internal friction (φ) of 30°. If the major principal stress (σ1) is 500 kPa, what is the minor principal stress (σ3) required to initiate shear failure according to the Mohr-Coulomb criterion?",250 kPa,300 kPa,350 kPa,400 kPa,2
27,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass with a cohesion of 50 kPa and an internal friction angle of 30° is subjected to a major principal stress of 200 kPa. The minor principal stress is 100 kPa. What is the factor of safety against failure using the Mohr-Coulomb criterion?,1.25,1.5,1.75,2.0,2
28,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion of 150 kPa and an internal friction angle of 35°. What is the major principal stress (σ1) at failure, given that the minor principal stress (σ3) is 100 kPa?",150 kPa,175 kPa,200 kPa,225 kPa,2
29,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion value of 150 kPa and an angle of internal friction of 30°. What is the major principal stress (σ1) for a rock mass with a minor principal stress (σ3) of 200 kPa, if the rock mass fails according to Mohr-Coulomb failure criterion?",250 kPa,300 kPa,350 kPa,400 kPa,2
30,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass has a cohesion (c) of 1.5 MPa and an angle of internal friction (φ) of 30°. The major principal stress (σ1) is 10 MPa and the minor principal stress (σ3) is 4 MPa. What is the failure criterion according to the Mohr-Coulomb theory?,σ1 - σ3 = 6.0 MPa,σ1 - σ3 = 6.0 MPa + 2c,σ1 - σ3 = 6.0 MPa + c - c tan(φ),σ1 - σ3 = 6.0 MPa + c tan(φ),2
31,Geomechanics & Ground Control,Mohr-Coulomb failure,1,A rock mass has a cohesion (c) of 2.5 MPa and an angle of internal friction (φ) of 30°. A vertical tension crack is induced in the rock mass with a normal stress (σn) of 5 MPa. The Mohr-Coulomb failure criterion is given by σf = c + σn ∫ (1 + sin(φ)). What is the maximum principal stress (σf) at failure?,6.5 MPa,7.5 MPa,8.5 MPa,9.5 MPa,2
32,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 100 kPa and an internal friction angle (φ) of 30°. If the major principal stress (σ1) is 2000 kPa, what is the minor principal stress (σ3) for the rock mass to fail according to the Mohr-Coulomb failure criterion?",σ3 = 1000 kPa,σ3 = 1500 kPa,σ3 = 1800 kPa,σ3 = 2500 kPa,2
33,Geomechanics & Ground Control,Mohr-Coulomb failure,1,"A rock mass has a cohesion (c) of 0.5 MPa and an angle of internal friction (φ) of 30°. What is the major principal stress (σ1) required to cause a failure in the rock mass, if the minor principal stress (σ3) is 10 MPa?",10.5 MPa,12.5 MPa,15.0 MPa,17.5 MPa,2
34,"Mine Planning, Geostatistics & Economics",Net Present Value,1,"A mining project has an initial investment of ₹ 100 crores and a life of 10 years. The annual operating cost is ₹ 10 crores and the annual revenue is ₹ 15 crores. The project has a discount rate of 12% per annum. What is the Net Present Value (NPV) of the project, rounded to the nearest integer?",₹ 50 crores,₹ 75 crores,₹ 100 crores,₹ 125 crores,2
35,"Mine Planning, Geostatistics & Economics",Net Present Value,1,A mining project has an initial investment of ₹ 1.5 crores and a net present value (NPV) of ₹ 2.8 crores. The project has a lifespan of 5 years. What is the approximate internal rate of return (IRR) of the project?,15% per annum,18% per annum,20% per annum,22% per annum,1
36,"Mine Planning, Geostatistics & Economics",Net Present Value,1,A mining project has an initial investment of ₹ 1.5 crore and a life of mine of 10 years. The annual operating cost is ₹ 5 lakhs and the annual revenue is ₹ 15 lakhs. The project is expected to have a net present value (NPV) of ₹ 2.5 crores at a discount rate of 10%. What is the internal rate of return (IRR) of the project?,15%,12%,18%,20%,1
37,"Mine Planning, Geostatistics & Economics",Net Present Value,1,"A mining project has an initial investment of ₹ 10,00,000 and an estimated annual revenue of ₹ 5,00,000. The project is expected to operate for 10 years. If the discount rate is 10% per annum, what is the Net Present Value (NPV) of the project?","₹ 2,50,000","₹ 3,00,000","₹ 3,50,000","₹ 4,00,000",2
38,"Mine Planning, Geostatistics & Economics",Net Present Value,1,"A mining project has an initial investment of ₹ 10 crores and an estimated annual revenue of ₹ 2.5 crores. If the project's life is 5 years, what is the minimum rate of return on investment (IRR) that would make the project economically viable?",15% per annum,18% per annum,20% per annum,22% per annum,1
39,"Mine Planning, Geostatistics & Economics",Economic Evaluation of Mining Projects,1,"A mining project has an initial investment of ₹ 100 crores and an estimated annual revenue of ₹ 50 crores. The project is expected to operate for 10 years. What is the minimum Internal Rate of Return (IRR) required for the project to be considered economically viable, assuming a discount rate of 15%?",10%,12%,15%,18%,1
40,"Mine Planning, Geostatistics & Economics",Net Present Value,1,A mining project involves an initial investment of ₹ 10 crores and is expected to generate a revenue of ₹ 2.5 crores per annum for 5 years. The discount rate is 12% per annum. What is the Net Present Value (NPV) of the project?,₹ 1.25 crores,₹ 1.75 crores,₹ 2.25 crores,₹ 3.25 crores,2
41,Mine Surveying & Geomatics,Bowditch rule traverse closing error,1,"A mine survey traverse has the following closure errors: Easting closure error = 1.23 m, Northing closure error = -0.56 m. The traverse has a total length of 1500 m. What is the magnitude of the traverse closing error using the Bowditch rule?",0.0008 m,0.0012 m,0.0018 m,0.0024 m,2
42,Mine Surveying & Geomatics,Bowditch rule traverse closing error,1,"A mine survey traverse has the following angles and distances: ΔA = 60°, ΔB = 90°, ΔC = 120°, AB = 50 m, BC = 75 m, CA = 100 m. Using the Bowditch rule, what is the error in the closing line CA due to the error in the angle ΔA?",0.02 m,0.05 m,0.10 m,0.15 m,2
43,Mine Surveying & Geomatics,Bowditch rule traverse closing error,1,"A mine survey traverse is closed using the Bowditch rule. If the sum of the squares of the differences in latitude and departure is 0.00065 km², what is the probable error in the closing of the traverse in meters?",0.022 m,0.025 m,0.032 m,0.039 m,2
44,Mine Surveying & Geomatics,Bowditch rule traverse closing error,1,"A traverse has the following angles and distances: A (90°, 100m), B (120°, 120m), C (90°, 80m), D (60°, 150m). If the calculated closing error using the Bowditch rule is 3.5 mm, what is the probable cause?",Inaccurate EDM measurements,Incorrect angle measurements,Insufficient leveling sensitivity,Computation error due to missing line,3
45,Mine Ventilation & Environment,Atkinson's friction law,1,"A mine has an airway with a diameter of 3.5 m. The airway is inclined at an angle of 20° to the horizontal. The air density is 1.2 kg/m³. The air velocity is 10 m/s. The friction factor (f) is 0.02. Using Atkinson's friction law, what is the pressure drop (ΔP) in kPa over a length of 1000 m?",0.45 kPa,0.92 kPa,1.20 kPa,1.50 kPa,2
46,Mine Ventilation & Environment,Atkinson's friction law,1,"A mine ventilation fan is installed in a 1.2 m diameter pipe with a length of 100 m. The air flow rate is 0.5 m³/s and the air pressure is 100 kPa. If the friction factor (f) is 0.02, what is the pressure drop (ΔP) in kPa, using Atkinson's friction law?",10 kPa,20 kPa,30 kPa,40 kPa,2
47,Mine Ventilation & Environment,Atkinson's friction law,1,"A ventilation system in a coal mine has an airflow rate of 10 m³/s. The fan is operating at a pressure of 150 kPa. According to Atkinson's friction law, the pressure drop (ΔP) in meters of water (m) is related to the airflow rate (Q) in m³/s and the friction factor (f) as ΔP = 4.8fQ². If the friction factor is 0.02, what is the pressure drop in meters of water?",1.2 m,2.4 m,3.6 m,4.8 m,2
48,Mine Ventilation & Environment,Atkinson's friction law,1,"A ventilation system in a coal mine has a duct of diameter 1.2 m and length 100 m. The air flow rate is 0.5 m³/s. The pressure drop due to friction is given by Atkinson's law as ΔP = 0.2 f (L/D) ρ v². If the friction factor f is 0.01, what is the pressure drop in kPa?",0.5 kPa,1.0 kPa,2.0 kPa,5.0 kPa,2
49,Mine Ventilation & Environment,Atkinson's friction law,1,A mine ventilation system has a fan installed with a characteristic curve of y = 0.5x² + 2x + 1. The air flow rate is 5 m³/s and the pressure drop is 10 kPa. What is the head loss (in m) due to friction using Atkinson's friction law?,0.5 m,1.25 m,2.5 m,5.0 m,2
50,Mine Ventilation & Environment,Atkinson's friction law,1,"A mine ventilation system has a total length of 1000 m of 0.5 m diameter duct. The air flow rate is 1.5 m³/s and the pressure drop is 0.5 kPa. Using Atkinson's friction law, what is the value of the friction factor (f) for the duct?",0.01,0.015,0.02,0.025,2
51,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,"A Koepe winder is designed to lift 1000 t/h of ore at a speed of 3.5 m/s. The wire rope has a diameter of 60 mm and a breaking load of 200 kN. If the maximum allowable slip is 10% of the load, determine the maximum allowable tension in the wire rope. The density of the ore is 3.0 t/m³.",1200 kN,1500 kN,1800 kN,2000 kN,1
52,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,"A Koepe winder is designed to lift 500 kN at a speed of 10 m/s. If the maximum allowable slip is 10% of the load, determine the minimum required static factor of safety (SFOS) for the wire rope, considering the acceleration due to gravity (g) as 9.81 m/s².",1.98,2.48,3.18,4.28,1
53,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,A Koepe winder is designed to lift 1000 t/h of ore at a speed of 3.5 m/s. The wire rope has a diameter of 80 mm and a breaking load of 120 kN. The maximum allowable slip is 10% of the load. What is the minimum static factor of safety required for the wire rope?,2.5,3.2,4.0,5.5,2
54,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,"A Koepe winder is to be designed to handle a 1.2 m³/s flow rate of a slurry with a density of 1500 kg/m³. The maximum allowable slip is 10% of the rope speed. If the rope speed is 20 m/s, what is the minimum static factor of safety (SF) required for the wire rope?",2.5,3.2,4.0,5.5,2
55,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,"A Koepe winder is used to haul a rope with a mass per unit length of 0.1 t/m. The maximum allowable slip is 10% of the rope length. If the rope is subjected to a tensile force of 100 kN, determine the maximum allowable velocity of the rope to prevent slip.",15 m/s,25 m/s,30 m/s,40 m/s,2
56,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,"A Koepe winder is used to lift a 10 m³/s flow of coal at a height of 100 m. The maximum allowable slip is 10%. If the static factor of safety of the wire rope is 5, determine the minimum permissible tensile strength of the wire rope.",50 MPa,70 MPa,100 MPa,120 MPa,2
57,Mining Machinery & Materials Handling,Koepe winder slip criteria,1,A Koepe winder is used in a coal mine to lift 1000 t/h of coal with a velocity of 2.5 m/s. The wire rope has a diameter of 60 mm and a breaking load of 400 kN. The maximum allowable slip is 10% of the rope's breaking load. What is the minimum static factor of safety (SF) required for the wire rope?,2.5,3.2,4.0,5.0,2
58,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,"A bord and pillar mine is being operated with a pillar extraction ratio of 0.25. If the average pillar strength is 2.5 MPa, what is the maximum allowable pillar extraction height (m) assuming a linear relationship between pillar strength and height?",2.5,5.0,7.5,10.0,2
59,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,"A bord and pillar mine with a working height of 4.5 m and pillar width of 3.0 m has an average pillar strength of 1.5 MPa. If the roof and floor strata have a density of 2.5 t/m³, what is the maximum permissible pillar load in kN?",45.0 kN,67.5 kN,90.0 kN,112.5 kN,2
60,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,"A bord and pillar mine has a pillar size of 5 m x 5 m x 10 m. The average density of the coal is 1.4 t/m³. If the mine is to be operated at a safety factor of 1.2, what is the maximum allowable pillar load in kN?",kN,kN,kN,kN,1
61,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,A bord and pillar mine has a pillar size of 6 m x 6 m x 6 m. The rock mass strength is 10 MPa. The pillar load is calculated to be 100 kN/m². What is the maximum allowable pillar load (in kN/m²) for a safety factor of 2?,50 kN/m²,75 kN/m²,100 kN/m²,150 kN/m²,1
62,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,A bord and pillar mine has a pillar size of 6 m x 6 m x 10 m and a coal seam thickness of 2.5 m. The mining rate is 1000 t/h. The in-situ stress is 2 MPa. What is the approximate powder factor for the depillaring operation?,0.5 kg/m³,0.75 kg/m³,1.0 kg/m³,1.25 kg/m³,2
63,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,"A Bord and Pillar mine has a pillar extraction ratio of 0.25. If the average pillar strength is 2.5 MPa, what is the maximum allowable pillar extraction stress?",0.625 MPa,1.25 MPa,2.5 MPa,5.0 MPa,1
64,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,A bord and pillar mine with a pillar extraction ratio of 0.4 is being operated. The average pillar strength is 3.5 MPa. The extracted coal volume is 100 m³. What is the average pillar load per unit area?,1.4 MPa,2.8 MPa,3.5 MPa,4.2 MPa,2
65,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,"A bord and pillar mine with a pillar size of 6 m x 6 m and a height of 3 m is being depillared. If the average pillar strength is 1.2 MPa, what is the maximum allowable pillar load in kN?",7200 kN,10800 kN,14400 kN,21600 kN,2
66,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,A bord and pillar mine is being operated with a pillar extraction ratio of 0.2. The average pillar strength is 1.5 MPa. The mined coal has a specific gravity of 1.4. The rib pillar width is 3.5 m. What is the maximum allowable pillar extraction width (in m) to avoid pillar instability?,2.5,3.2,4.0,5.5,2
67,Surface & Underground Mining Methods,Bord and Pillar depillaring,1,A bord and pillar mine with a panel size of 100 m x 100 m has a pillar size of 10 m x 10 m. The mine is operated at a depth of 500 m. The in-situ stress is 5 MPa and the rock mass rating is 4. The powder factor for blasting is 0.2 kg/m³. What is the stripping ratio (SR) for this mine?,0.5,1.0,1.5,2.0,1
68,Engineering Mathematics,Matrix eigenvalues,2,"A 3x3 matrix A has eigenvalues λ1 = 4, λ2 = 2, and λ3 = 1. If A is symmetric, which of the following is TRUE?",The trace of A is equal to the sum of its eigenvalues.,The determinant of A is equal to the product of its eigenvalues.,The matrix A satisfies its own characteristic equation.,The eigenvalues of A are real and distinct.,2
69,Engineering Mathematics,Matrix eigenvalues,2,"The eigenvalues of a matrix [A] are given by the characteristic equation |λI - [A]| = 0. If [A] = [[2, 1], [4, 3]], what is the value of the product of the eigenvalues?",λ1 × λ2 = 1,λ1 × λ2 = 5,λ1 × λ2 = 6,λ1 × λ2 = 9,2
70,Engineering Mathematics,Matrix eigenvalues,2,"For a square matrix A, if λ = 5 is an eigenvalue, then which of the following is true?",A is singular,The determinant of A is 5,The eigenvalue λ = 5 satisfies the characteristic equation |A - λI| = 0,The eigenvalue λ = 5 satisfies the Cayley-Hamilton theorem,3
71,Engineering Mathematics,Matrix eigenvalues,2,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by λ = (d - a ± √((d - a)² + b*c)) / 2. If the matrix represents the stress tensor of a material and the eigenvalues are 0.5 MPa and 1.2 MPa, what is the value of the determinant of the matrix?",0.6 MPa,0.8 MPa,1.0 MPa,1.7 MPa,2
72,Engineering Mathematics,Matrix eigenvalues,2,"A 2x2 matrix A has eigenvalues β = 2 and γ = 3. What is the value of the expression A^2 - 4A + 6I, where I is the identity matrix?",A = 2I,A = 3I,A = 0,A = 6I,2
73,Engineering Mathematics,Matrix eigenvalues,2,"The eigenvalues of a 2x2 matrix [a, b; c, d] are given by λ = (d - a ± √(b^2 + c^2 + a*d - b*c)) / 2. If the matrix represents the stress tensor of a material with Young's modulus E = 200 GPa, and the principal stresses are σ1 = 100 MPa and σ2 = 50 MPa, what are the eigenvalues in MPa?","λ1 = 100 MPa, λ2 = 50 MPa","λ1 = 150 MPa, λ2 = 25 MPa","λ1 = 50 MPa, λ2 = 100 MPa","λ1 = 125 MPa, λ2 = 75 MPa",2
74,General Aptitude & Reasoning,Logical deduction,2,"A conveyor belt transports coal at a speed of 5 m/s. If the coal is to be unloaded at a rate of 10 kN, what percentage of the conveyor belt's capacity is utilized?",12.5%,15%,20%,25%,2
75,General Aptitude & Reasoning,Logical deduction,2,"A conveyor belt is moving at a speed of 5 m/s. If the length of the belt is 100 m, and it is being loaded at a rate of 0.2 m³/s, what is the percentage increase in the mass of the belt per second?",0.01%,0.1%,1%,10%,3
76,General Aptitude & Reasoning,Logical deduction,2,"A conveyor belt is moving at a speed of 2.5 m/s. If it is stopped suddenly, what is the minimum distance required to stop the belt, if the initial kinetic energy of the belt is 15 kJ?",10 m,20 m,25 m,30 m,2
77,General Aptitude & Reasoning,Logical deduction,2,"A conveyor belt is moving at a speed of 2.5 m/s. If it is loaded with 5 tons of coal, and the coal is to be unloaded in 4 minutes, what is the rate of unloading in tons per hour?",2.5 tons/hour,5 tons/hour,10 tons/hour,12.5 tons/hour,3
78,General Aptitude & Reasoning,Logical deduction,2,A conveyor belt is moving at a speed of 2.5 m/s. A box of mass 150 kg is placed on it. The coefficient of kinetic friction between the box and the belt is 0.2. What is the minimum power required to move the box at this speed?,25 W,50 W,75 W,100 W,2
79,General Aptitude & Reasoning,Logical deduction,2,"A conveyor belt is moving at a speed of 2.5 m/s. If it is stopped suddenly, what is the minimum time required to stop a 5-tonne load, given that the deceleration is 2.5 m/s²?",0.5 seconds,1 second,1.25 seconds,2 seconds,2
80,General Aptitude & Reasoning,Logical deduction,2,"A mine has a production rate of 1,000,000 tonnes per year. If the mine operates for 350 days in a year, what is the average production rate in tonnes per day?","2,857 tonnes/day","2,000 tonnes/day","1,428 tonnes/day","3,571 tonnes/day",2
81,General Aptitude & Reasoning,Logical deduction,2,"A mine has two parallel haulage roads, A and B, with lengths of 500 m and 750 m, respectively. If the speed of the haulage truck on road A is 20 km/h and on road B is 15 km/h, and the time taken to cover road A is 15 minutes, what is the percentage increase in time taken to cover road B?",5%,10%,15%,20%,2
82,General Aptitude & Reasoning,Logical deduction,2,"A mine has two parallel inclined planes of equal length with an angle of 30° to the horizontal. A 5 m³/s water flow is passing through one of the planes. If the average velocity of water flow in the plane is 2 m/s, what is the pressure at the bottom of the plane (in kPa)?",10 kPa,20 kPa,30 kPa,40 kPa,1
83,Geomechanics & Ground Control,Mohr-Coulomb failure,2,"A rock mass has a cohesion of 0.5 MPa and an angle of internal friction of 30°. If the major principal stress is 5 MPa and the minor principal stress is 2 MPa, what is the factor of safety against failure using the Mohr-Coulomb criterion?",1.25,1.5,1.75,2.0,2
