id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
1,Mining Engineering,Mine Machinery,1,In stainless steel the chromium percentage is?,10 to 15 %,18 to 20 %,25 to 30 %,less than 10%,1
2,Mining Engineering,Mine Machinery,1,The component in the winding engine house that stores the energy by speeding up during periods of light load and delievers it by slowing during the heavy load period is?,Electrical braker,Flywheel,Electrical gear,Additional winding in the system,1
3,Mining Engineering,Open Cast Mining,1,Compressive strength of coal is?,13.5 kg/sq.mm,2.25 kg/sq.mm,2.25 kg/sq.cm,13.5 kg/sq.cm,1
4,Mining Engineering,U/g Mines Ventilation,1,Each 1 % reduction in the O2 % results in about the depletion from the light is?,10 %,20 %,30 %,40 %,2
5,Mining Engineering,Mine Legislation,1,If any owner fails to submit within ...a draft of bye laws after being called upon to do so by the C.I ;the C.I may propose a draft of such bye laws as appear to him?,1 month,2 months,3 months,4 months,1
6,Mining Engineering,Mine Machinery,1,The distance between two adjacent sleepers should not exceed?,1 m,0.85 m,0.6 m,0.5 m,1
7,Mining Engineering,Open Cast Mining,1,The weight of the rocks in coal mining areas exerts a pressure nearly per metre depth from the surface is ..?,1 kg/sq.cm,0.5 kg/sq.cm,0.2 kg/sq.mm,0.2 kg/sq.cm,3
8,Mining Engineering,Mine Machinery,1,Limiting gradient for the main and tail rope haulage is?,1 in 6,1 in 8,1 in 10,1 in 3,3
9,Mining Engineering,U/g Mines Ventilation,1,The method of stoping suitable for thin ore bodies flat dip and both ore and walls are strong is?,Sublevel stoping,Top slicing,Longwall,Room and piller mining,3
10,Mining Engineering,Mine Machinery,1,The simplest system of haulage system for raising the loads?,Direct rope haulage,Endless rope haulage,Main tail rope haulage,Gravity,0
11,Mining Engineering,Mine Machinery,1,The maximum length of the rope haulage is?,1000 m,800 m,600 m,450 m,2
12,Mining Engineering,Mine Machinery,1,The limiting gradient of A.C.C without flights is?,1 in 3,1 in 1.5,1 in 2,1 in 4,0
13,Mining Engineering,Mine Machinery,1,The carbon content in the cast iron is?,3 to 4 %,0.15 %,1.8 to 5 %,5 to 6 %,2
14,Mining Engineering,U/g Mines Ventilation,1,If the quantity of air passing through airway has to be increased from 1200 cu.m/min to 2400 cu.m/min the effect of HP of fan is?,8 times,4 times,2 times,1/2 times,0
15,Mining Engineering,U/g Mines Ventilation,1,The ventilating door should open against the intake air so that?,Air leakage takes from intake to return,The air pressure normally keeps the door closed,Recirculation of foul air avoided,Regulations are compiled with,1
16,Mining Engineering,U/g Mines Ventilation,1,The rise in the pressure due to auto compression is .....per 100 m?,1.1 kpa,2 kpa,2.9 kpa,3.5 kpa,0
17,Mining Engineering,U/g Mines Ventilation,1,The minimum average lumens/sq.ft of light at roadways is?,1.5,1.25,0.4,0.9,2
18,Mining Engineering,Open Cast Mining,1,The core of earth consist of?,Manganese,Nickel and iron,Megnesium,Sulpher,1
19,Mining Engineering,Open Cast Mining,1,Diamond crytalline system is?,Isometric,monoclinic,Hexagonal,cubic system,0
20,Mining Engineering,U/g Mines Ventilation,1,M.S.A methanometer is worked on the principle of?,Formation of gas cap,Wheatstone bridge,Infraradiation,Optical properties,1
21,Mining Engineering,U/g Mines Ventilation,1,The wetbulb temparature in development faces should not exceed?,30 deg c,33.5 deg c,35 deg c,38 deg c,1
22,Mining Engineering,Mine Machinery,1,All the suspension gear should be renewed after every ..?,5 years,7 years,10 years,15 years,2
23,Mining Engineering,Mine Legislation,1,A day of rest for any person shall mean a period(weekly day of rest) of atleast....?,2 days,24 consecutive hours,24 non consecutive hours,36 hours,1
24,Mining Engineering,Open Cast Mining,1,The safety device is provided in sinking shaft in case of overwind?,spider,kibble,detaching hook,rider,0
25,Mining Engineering,Mine Legislation,1,Register of medical standard of fitness of persons employed is maintained in the form of?,FORM N,FORM O,FORM P,FORM P-I,2
26,Mining Engineering,U/g Mines Ventilation,2,"212,The duration of usage for chemical oxygen breathing apparatus is?",1/2 hour,1 hour,2 hour,3 hour,0
27,Mining Engineering,Open Cast Mining,2,A chemical component having 3 properties-High explosive and Oxidising agent and cooling agent is?,NG,Liquid oxygen,TNT,AN,3
28,Mining Engineering,Open Cast Mining,2,In freezing method of shaft sinking which is used for circulation?,HCl,HNo3,CaCl2,NaCl,2
29,Mining Engineering,Mine Machinery,2,The valve which is used in delievery column to hold the water if pump stops?,Foot valve,Retaining valve,BYpass valve,Sluice valve,1
30,Mining Engineering,Mine Machinery,2,The capacity of the safary support is?,1.5 te,5 te,10 te,4 te,0
31,Mining Engineering,Open Cast Mining,2,Proximate analysis of coal gives?,% of elements present,% of ash;voltile matter etc,Thermal value of coal,none,1
32,Mining Engineering,Mine Machinery,2,A wind pressure on the exposed surface of the head gear frame may be taken as.....N/sq.m ?,100,750,1340,3000,2
33,Mining Engineering,Mine Machinery,2,The direct rope haulage with 150 HP the reasonal output is ?,1000 te/day,800 te/day,600 te/day,400 te/day,2
34,Mining Engineering,Mine Legislation,2,No workings shall be made and no work of extraction or reduction of pillars shall be conducted any point within.....of any railway?,30 m,45 m,100 m,60 m,1
35,Mining Engineering,Mine Legislation,2,The court is only an investigatory authority and it submits its report to the govt within........?,14 days,1 month,3 months,6 months,3
36,Mining Engineering,Open Cast Mining,2,Hazard performance initiation propagation are related to one of the characteristics of an explosive?,VOD,Stability,Sensitivity,Density,2
37,Mining Engineering,Open Cast Mining,2,The ratio at which the cost of opencast mining equals that of underground mining is called?,Breakeven stripping ratio,Limiting stripping ratio,Quarrible limit,stripping ratio,0
38,Mining Engineering,Mine Machinery,2,The limiting gradient for the shuttle car is?,Less than 6 deg,less than 12 deg,Less than 20 deg,More than 20 deg,0
39,Mining Engineering,Mine Machinery,2,The gradient suitable for direct rope haulage is steeper than?,1 in 15,1 in 3,1 in 10,1 in 30,2
40,Mining Engineering,Mine Machinery,2,Internal stresses of the rope can be relieve with the use of?,Normalising the wire,Annealing the wire,Performed wire,Wassington pattern,2
41,Mining Engineering,U/g Mines Ventilation,2,Among the methods of open stoping method lends to large scale mechanisation in drilling ; blasing ;loading and transporing is?,Rill stoping,Breast stoping,Overhand stoping,Underhand stoping,1
42,Mining Engineering,Open Cast Mining,2,In longwall advancing the gate roads extend slightly beyond the face and the extended portion of the gate is called?,Buttok,Tail gate,Stable,Packwall,2
43,Mining Engineering,Open Cast Mining,2,The chemical formula of the magnetite is?,FeCO3,Fe2O3,Fe3O4,Fe2O4,2
